행정구역,2023년04월_계_총인구수,2023년04월_계_연령구간인구수,2023년04월_계_0~9세,2023년04월_계_10~19세,2023년04월_계_20~29세,2023년04월_계_30~39세,2023년04월_계_40~49세,2023년04월_계_50~59세,2023년04월_계_60~69세,2023년04월_계_70~79세,2023년04월_계_80~89세,2023년04월_계_90~99세,2023년04월_계_100세 이상
서울특별시 성북구 보문동(1129061000),"16,282","16,282","1,000","1,006","2,686","2,776","2,363","2,648","2,068","1,125",537,72,1
서울특별시 성북구 정릉제1동(1129062000),"17,861","17,861","1,261","1,661","2,195","2,388","2,962","2,864","2,339","1,377",725,88,1
서울특별시 성북구 정릉제2동(1129063000),"22,627","22,627","1,275","1,663","3,064","2,989","3,261","3,811","3,447","1,981","1,019",117,0
서울특별시 성북구 정릉제3동(1129064000),"15,126","15,126",461,"1,001","3,358","1,792","1,627","2,287","2,266","1,439",783,110,2
서울특별시 성북구 정릉제4동(1129065000),"24,383","24,383","1,297","2,041","3,130","2,886","3,752","4,209","3,684","2,161","1,079",141,3
서울특별시 성북구 길음제1동(1129066000),"34,756","34,756","3,079","4,934","3,378","3,772","7,308","5,609","3,449","2,077","1,018",127,5
서울특별시 성북구 길음제2동(1129068500),"21,736","21,736","2,038","2,049","2,513","2,927","3,921","3,615","2,632","1,368",584,87,2
서울특별시 성북구 종암동(1129070500),"38,054","38,054","2,199","3,478","5,523","4,678","5,924","6,312","5,132","2,887","1,661",251,9
서울특별시 성북구 월곡제1동(1129071500),"25,887","25,887","1,667","2,510","2,891","3,261","4,283","4,310","3,680","2,159","1,021",104,1
서울특별시 성북구 월곡제2동(1129072500),"19,181","19,181",856,"1,434","3,531","2,602","2,563","2,961","2,735","1,573",824,99,3
서울특별시 성북구 장위제1동(1129076000),"23,791","23,791","1,557","1,813","3,136","3,236","3,613","4,144","3,576","1,783",839,91,3
서울특별시 성북구 장위제2동(1129077000),"13,318","13,318",517,795,"1,795","1,793","1,720","2,314","2,266","1,372",671,73,2
서울특별시 성북구 장위제3동(1129078000),"15,786","15,786","1,581","1,338","1,941","2,388","2,687","2,488","1,986",926,413,37,1
서울특별시 성북구 석관동(1129081000),"34,286","34,286","1,739","2,051","4,757","4,701","4,729","5,683","5,593","3,314","1,564",151,4
서울특별시 강북구 (1130500000),"292,383","292,383","12,457","19,842","39,325","35,654","41,356","50,532","47,853","29,400","14,382","1,534",48
서울특별시 강북구 삼양동(1130553400),"22,787","22,787","1,055","1,680","2,859","2,678","3,185","4,191","3,781","2,212","1,033",111,2
서울특별시 강북구 미아동(1130553500),"21,107","21,107",618,"1,227","3,624","2,704","2,736","3,519","3,536","2,014","1,035",93,1
서울특별시 강북구 송중동(1130554500),"29,088","29,088","1,376","1,869","3,921","3,861","4,207","5,018","4,733","2,749","1,227",127,0
서울특별시 강북구 송천동(1130555500),"25,377","25,377",817,"1,399","3,162","2,970","3,366","4,660","4,781","2,765","1,331",120,6
서울특별시 강북구 삼각산동(1130557500),"30,761","30,761","2,390","3,867","3,224","3,288","5,802","5,416","3,600","2,066",994,110,4
서울특별시 강북구 번1동(1130559500),"18,034","18,034",553,929,"3,016","2,610","2,632","2,961","2,745","1,716",797,73,2
서울특별시 강북구 번2동(1130560300),"15,190","15,190",497,895,"1,955","1,598","2,056","2,567","2,721","1,925",884,88,4
서울특별시 강북구 번3동(1130560800),"16,364","16,364",712,"1,125","1,733","1,573","2,206","2,745","2,680","2,370","1,099",116,5
서울특별시 강북구 수유1동(1130561500),"20,195","20,195",770,"1,250","2,936","2,679","2,697","3,364","3,390","2,025",963,118,3
서울특별시 강북구 수유2동(1130562500),"20,803","20,803",871,"1,268","2,713","2,398","2,804","3,558","3,626","2,191","1,225",145,4
서울특별시 강북구 수유3동(1130563500),"23,028","23,028",646,"1,065","4,191","3,356","2,974","3,908","3,623","2,113","1,056",92,4
서울특별시 강북구 우이동(1130564500),"20,124","20,124",898,"1,289","2,373","2,469","2,721","3,534","3,421","2,101","1,168",146,4
서울특별시 강북구 인수동(1130566000),"29,525","29,525","1,254","1,979","3,618","3,470","3,970","5,091","5,216","3,153","1,570",195,9
서울특별시 도봉구 (1132000000),"310,023","310,023","15,027","23,171","38,567","38,065","43,744","54,402","52,630","28,364","14,156","1,838",59
서울특별시 도봉구 창제1동(1132051100),"24,239","24,239","1,221","1,960","3,018","3,207","3,664","4,237","3,687","2,032","1,067",140,6
서울특별시 도봉구 창제2동(1132051200),"28,482","28,482","1,450","2,094","3,839","3,861","4,228","4,948","4,381","2,405","1,146",127,3
서울특별시 도봉구 창제3동(1132051300),"13,392","13,392",572,948,"1,558","1,530","1,975","2,421","2,318","1,355",657,55,3
서울특별시 도봉구 창제4동(1132051400),"25,919","25,919","1,421","2,439","3,253","3,174","4,014","4,699","3,996","1,787",960,175,1
서울특별시 도봉구 창제5동(1132051500),"24,090","24,090","1,256","1,765","3,270","3,434","3,245","4,207","3,915","1,888",961,144,5
서울특별시 도봉구 도봉제1동(1132052100),"20,335","20,335",655,"1,060","2,261","2,130","2,589","3,545","4,004","2,681","1,263",140,7
서울특별시 도봉구 도봉제2동(1132052200),"26,093","26,093","1,393","1,468","2,801","3,325","3,452","4,212","4,916","2,950","1,390",180,6
서울특별시 도봉구 쌍문제1동(1132066000),"20,912","20,912",939,"1,494","2,802","2,423","2,860","3,670","3,489","2,023","1,089",121,2
